id,x,y,radius,source
262,3009,1948,43,reference
263,804,1950,96,reference
264,4131,1957,61,reference
265,3371,1934,55,recall
266,2258,1961,72,reference
267,1091,1977,71,reference
268,3551,1980,40,reference
269,2437,2001,67,reference
270,2899,2007,51,reference
271,1839,2024,64,reference
272,4358,2017,35,reference
273,235,2033,48,reference
274,27,2052,48,reference
275,4513,2060,35,reference
276,449,2065,88,reference
277,3748,2059,43,recall
278,834,2071,86,reference
279,2076,2073,53,reference
280,4764,2087,53,reference
281,3120,2091,52,recall
282,3359,2102,81,recall
283,4943,2111,83,reference
284,2677,2119,104,reference
285,689,2121,83,reference
286,1186,2130,43,reference
287,1630,2148,56,reference
288,3548,2151,43,reference
289,4147,2156,53,residual
290,48,2172,59,reference
291,2317,2178,59,reference
292,1881,2186,40,reference
293,4377,2199,69,reference
294,363,2204,104,recall
295,2838,2230,115,recall
296,3719,2255,88,reference
297,5186,2220,77,reference
298,1932,2236,39,reference
299,4542,2242,40,reference
300,3155,2263,51,reference
301,949,2268,83,reference
302,2081,2268,45,reference
303,814,2276,102,recall
304,553,2269,35,reference
305,4991,2292,67,reference
306,5429,2295,59,reference
307,1175,2361,48,reference
308,4775,2308,61,recall
309,1543,2303,75,reference
310,126,2325,56,reference
311,3310,2327,32,reference
312,3504,2331,80,reference
313,398,2346,59,reference
314,2552,2359,45,recall
315,4133,2365,56,reference
316,965,2370,96,reference
317,1731,2373,72,reference
318,1445,2384,67,reference
319,2248,2381,48,reference
320,4369,2410,40,reference
321,5285,2413,53,reference
322,644,2423,69,reference
323,2915,2428,88,reference
324,3073,2458,72,residual
325,3701,2477,48,reference
326,4606,2477,53,reference
327,3166,2480,51,reference
328,1608,2485,32,reference
329,1953,2490,29,reference
330,4940,2490,48,residual
331,2784,2498,69,reference
332,2538,2512,99,reference
333,4865,2512,67,reference
334,927,2522,35,recall
335,5079,2525,94,reference
336,1120,2549,61,reference
337,3449,2552,32,recall
338,612,2560,40,reference
339,802,2562,67,reference
340,1315,2568,51,reference
341,4104,2568,64,reference
342,2252,2573,56,reference
343,1814,2584,32,reference
344,5395,2602,126,recall
345,2856,2605,112,reference
346,4462,2605,53,reference
347,222,2624,67,reference
348,4336,2637,37,reference
349,5256,2642,48,residual
350,2031,2650,43,reference
351,3634,2685,56,reference
352,4713,2704,75,reference
353,2402,2723,64,reference
354,1052,2722,43,reference
355,5164,2748,62,reference
356,649,2741,80,reference
357,3420,2744,80,reference
358,930,2749,83,reference
359,329,2752,61,reference
360,3249,2755,51,reference
361,40,2757,53,reference
362,4967,2763,86,reference
363,2648,2771,115,reference
364,1200,2776,40,reference
365,1274,2781,37,residual
366,1779,2781,35,reference
367,513,2797,77,recall
368,4067,2797,80,reference
369,4507,2803,32,reference
370,2041,2830,32,reference
371,2992,2840,112,recall
372,2819,2859,67,reference
373,4294,2864,40,reference
374,1508,2876,54,reference
375,3086,2891,45,reference
376,2186,2894,51,reference
377,5456,2896,35,recall
378,3364,2915,32,reference
379,3591,2923,48,reference
380,1061,2926,43,reference
381,3115,2926,51,residual
382,29,2931,37,reference
383,5304,2936,80,reference
384,4809,2939,48,reference
385,363,2944,43,reference
386,5047,2944,69,reference
387,61,2963,88,recall
388,198,2990,104,reference
389,1820,2998,53,reference
390,871,3001,56,reference
391,2525,3003,53,reference
392,2244,3014,19,recall
393,1363,3017,69,recall
394,3986,3017,61,reference
395,1325,3046,40,reference
396,4630,3051,67,reference
397,2172,3054,67,reference
398,4430,3070,51,reference
399,2918,3105,83,reference
400,3233,3118,37,reference
401,1109,3113,96,reference
402,3073,3139,43,reference
403,655,3142,99,reference
404,2343,3150,48,reference
405,1582,3161,53,reference
406,5373,3152,106,reference
407,4865,3209,45,reference
408,5152,3223,99,reference
409,32,3241,69,reference
410,2787,3260,40,reference
411,3920,3268,75,recall
412,1958,3273,53,reference
413,2541,3281,53,reference
414,4783,3297,21,recall
415,878,3240,57,reference
416,4668,3316,35,reference
417,2955,3321,32,reference
418,1365,3324,61,reference
419,5445,3329,40,recall
420,2140,3340,48,residual
421,4147,3400,49,recall
422,3166,3348,64,reference
423,1713,3367,69,reference
424,3368,3361,74,reference
425,939,3409,58,reference
426,2167,3412,45,reference
427,2361,3423,72,reference
428,1189,3455,72,reference
429,3060,3577,63,residual
430,2586,3476,77,reference
431,1854,3479,45,reference
432,4898,3481,51,reference
433,333,3473,48,reference
434,617,3497,51,reference
435,3826,3508,99,reference
436,1651,3548,56,reference
437,5261,3559,184,recall
438,3266,3585,79,reference
439,4084,3605,71,reference
440,2771,3607,45,reference
441,4604,3610,45,reference
442,951,3612,67,reference
443,1865,3623,48,recall
444,2076,3623,61,reference
445,1304,3634,27,recall
446,2252,3644,54,peak
447,2685,643,79,manual
448,2812,963,50,manual
449,3404,544,73,manual
450,3577,573,73,manual
451,5406,842,83,manual
452,5213,829,69,manual
453,5028,807,69,manual
454,4847,761,69,manual
455,4624,744,49,manual
456,4461,693,53,manual
457,4282,685,35,manual
458,4102,639,71,manual
459,4214,706,41,manual
460,3929,597,73,manual
461,2731,397,65,manual
462,2586,367,57,manual
463,2404,346,49,manual
464,2265,318,41,manual
465,2104,276,49,manual
466,1943,255,45,manual
467,1493,141,43,manual
468,1794,213,51,manual
469,1068,43,52,manual
470,937,26,38,manual
471,1257,12,18,manual
472,1102,344,38,manual
473,5399,1129,45,manual
474,1323,2244,68,manual
475,4379,3485,25,manual
476,3483,3131,100,manual
477,3958,1093,37,manual
478,4088,1058,55,manual
479,4226,927,43,manual
480,4245,1055,65,manual
481,4023,1235,41,manual
482,4075,1419,55,manual
483,4178,1324,55,manual
484,4165,1226,55,manual
485,4116,1563,62,manual
486,5421,1292,51,manual
487,5461,1401,51,manual
488,2189,480,51,manual
489,5313,2095,109,manual
490,3205,1757,64,manual
491,141,3527,132,manual
492,427,3637,32,manual
493,486,325,39,manual
494,582,365,39,manual
495,737,376,39,manual
496,1077,812,49,manual
497,1481,572,61,manual
498,1782,561,56,manual
499,1898,1560,67,manual
500,139,629,77,manual
501,467,496,54,manual
502,53,541,60,manual
503,51,21,51,manual
504,204,36,51,manual
505,379,30,51,manual
506,55,2497,88,manual
507,475,3176,75,manual
508,1405,966,40,manual
